num_nodes,num_edges,branching_factor,solution_depth,heuristic_available,density,best_algorithm
12,30,5.0,8,0,0.4545,DFS
44,181,8.227,7,1,0.1913,ASTAR
44,472,21.455,10,0,0.4989,DFS
16,77,9.625,10,1,0.6417,ASTAR
27,42,3.111,6,0,0.1197,BFS
25,209,16.72,2,1,0.6967,ASTAR
32,62,3.875,7,1,0.125,ASTAR
17,124,14.588,8,0,0.9118,DFS
50,92,3.68,1,1,0.0751,HILL
18,69,7.667,2,0,0.451,BFS
24,107,8.917,3,0,0.3877,BFS
19,51,5.368,9,1,0.2982,DFS
17,100,11.765,1,0,0.7353,BFS
25,189,15.12,1,0,0.63,BFS
18,124,13.778,9,0,0.8105,DFS
40,498,24.9,6,0,0.6385,DFS
24,265,22.083,10,0,0.9601,DFS
43,350,16.279,8,0,0.3876,DFS
40,450,22.5,7,0,0.5769,DFS
38,112,5.895,2,1,0.1593,HILL
14,29,4.143,5,1,0.3187,ASTAR
48,650,27.083,8,1,0.5762,ASTAR
17,125,14.706,9,0,0.9191,DFS
24,128,10.667,6,1,0.4638,ASTAR
16,55,6.875,7,1,0.4583,ASTAR
33,520,31.515,3,1,0.9848,ASTAR
15,25,3.333,7,0,0.2381,DFS
33,447,27.091,3,0,0.8466,BFS
45,619,27.511,6,0,0.6253,DFS
37,88,4.757,5,1,0.1321,ASTAR
46,564,24.522,4,0,0.5449,BFS
24,239,19.917,2,1,0.8659,ASTAR
33,90,5.455,5,0,0.1705,BFS
45,829,36.844,10,0,0.8374,DFS
27,40,2.963,3,1,0.114,HILL
29,201,13.862,6,0,0.4951,DFS
46,718,31.217,7,0,0.6937,DFS
50,111,4.44,2,0,0.0906,BFS
39,387,19.846,3,1,0.5223,HILL
30,426,28.4,10,0,0.9793,DFS
19,58,6.105,10,0,0.3392,DFS
27,252,18.667,7,1,0.7179,ASTAR
36,314,17.444,4,0,0.4984,BFS
17,52,6.118,10,1,0.3824,ASTAR
29,51,3.517,4,1,0.1256,HILL
13,12,1.846,4,1,0.1538,HILL
18,82,9.111,5,1,0.5359,ASTAR
41,804,39.22,7,0,0.9805,DFS
44,763,34.682,4,1,0.8066,ASTAR
12,38,6.333,1,1,0.5758,ASTAR
30,323,21.533,7,1,0.7425,ASTAR
36,331,18.389,2,1,0.5254,HILL
30,116,7.733,10,1,0.2667,DFS
33,77,4.667,7,0,0.1458,DFS
47,866,36.851,9,0,0.8011,DFS
29,201,13.862,4,1,0.4951,HILL
14,78,11.143,2,0,0.8571,BFS
32,210,13.125,3,0,0.4234,BFS
26,126,9.692,3,0,0.3877,BFS
14,35,5.0,8,1,0.3846,ASTAR
47,965,41.064,10,1,0.8927,ASTAR
50,696,27.84,3,1,0.5682,ASTAR
38,683,35.947,5,1,0.9716,ASTAR
32,290,18.125,2,1,0.5847,ASTAR
12,14,2.333,6,1,0.2121,ASTAR
15,92,12.267,10,1,0.8762,ASTAR
45,854,37.956,1,1,0.8626,ASTAR
46,712,30.957,4,1,0.6879,ASTAR
42,195,9.286,1,1,0.2265,HILL
31,395,25.484,2,0,0.8495,BFS
38,486,25.579,9,0,0.6913,DFS
28,225,16.071,7,1,0.5952,ASTAR
13,54,8.308,2,1,0.6923,ASTAR
34,323,19.0,5,0,0.5758,DFS
47,335,14.255,6,1,0.3099,ASTAR
35,166,9.486,10,0,0.279,DFS
34,369,21.706,3,0,0.6578,BFS
37,556,30.054,6,0,0.8348,DFS
21,74,7.048,6,1,0.3524,ASTAR
18,56,6.222,2,1,0.366,HILL
16,79,9.875,9,0,0.6583,DFS
49,316,12.898,10,1,0.2687,DFS
21,197,18.762,10,0,0.9381,DFS
12,37,6.167,6,0,0.5606,ASTAR
38,276,14.526,9,0,0.3926,DFS
40,237,11.85,6,1,0.3038,ASTAR
28,222,15.857,9,1,0.5873,ASTAR
22,226,20.545,10,0,0.9784,DFS
13,73,11.231,6,0,0.9359,BFS
28,69,4.929,3,1,0.1825,HILL
42,191,9.095,7,0,0.2218,DFS
24,232,19.333,8,1,0.8406,ASTAR
36,89,4.944,7,1,0.1413,ASTAR
15,61,8.133,4,0,0.581,BFS
16,106,13.25,6,0,0.8833,ASTAR
40,751,37.55,3,1,0.9628,ASTAR
10,15,3.0,1,1,0.3333,HILL
19,158,16.632,10,1,0.924,ASTAR
28,148,10.571,5,0,0.3915,HILL
50,985,39.4,2,0,0.8041,BFS
41,651,31.756,9,0,0.7939,DFS
46,292,12.696,3,1,0.2821,HILL
49,770,31.429,4,1,0.6548,ASTAR
15,81,10.8,6,0,0.7714,BFS
34,514,30.235,1,1,0.9162,ASTAR
26,33,2.538,6,0,0.1015,BFS
50,261,10.44,10,1,0.2131,DFS
32,310,19.375,6,0,0.625,DFS
39,528,27.077,3,0,0.7126,BFS
39,75,3.846,5,0,0.1012,BFS
22,31,2.818,6,1,0.1342,ASTAR
44,527,23.955,5,0,0.5571,DFS
22,94,8.545,6,0,0.4069,ASTAR
27,89,6.593,6,1,0.2536,ASTAR
38,432,22.737,6,0,0.6145,DFS
41,416,20.293,9,1,0.5073,ASTAR
37,116,6.27,7,0,0.1742,DFS
30,81,5.4,2,1,0.1862,HILL
29,256,17.655,10,1,0.6305,ASTAR
38,396,20.842,8,0,0.5633,DFS
32,345,21.562,7,1,0.6956,ASTAR
13,21,3.231,7,1,0.2692,ASTAR
20,26,2.6,3,1,0.1368,HILL
14,43,6.143,6,1,0.4725,ASTAR
46,78,3.391,10,0,0.0754,DFS
33,222,13.455,8,0,0.4205,DFS
43,417,19.395,7,1,0.4618,ASTAR
25,82,6.56,1,0,0.2733,BFS
34,153,9.0,5,1,0.2727,ASTAR
23,178,15.478,5,1,0.7036,ASTAR
18,35,3.889,8,0,0.2288,DFS
38,126,6.632,6,1,0.1792,ASTAR
45,599,26.622,5,1,0.6051,ASTAR
50,405,16.2,6,0,0.3306,DFS
18,77,8.556,8,0,0.5033,DFS
46,422,18.348,8,0,0.4077,DFS
15,22,2.933,5,1,0.2095,ASTAR
40,577,28.85,7,1,0.7397,ASTAR
14,29,4.143,6,0,0.3187,ASTAR
18,63,7.0,3,1,0.4118,HILL
13,27,4.154,9,0,0.3462,DFS
20,101,10.1,4,1,0.5316,HILL
43,332,15.442,2,1,0.3677,HILL
45,325,14.444,3,1,0.3283,HILL
15,78,10.4,3,0,0.7429,BFS
49,739,30.163,10,0,0.6284,DFS
11,15,2.727,1,1,0.2727,HILL
46,471,20.478,10,0,0.4551,DFS
50,1166,46.64,5,1,0.9518,ASTAR
35,338,19.314,8,0,0.5681,DFS
20,131,13.1,7,1,0.6895,ASTAR
31,340,21.935,3,1,0.7312,ASTAR
30,404,26.933,6,1,0.9287,ASTAR
33,295,17.879,9,0,0.5587,DFS
39,163,8.359,5,1,0.22,ASTAR
16,21,2.625,5,1,0.175,ASTAR
36,289,16.056,3,1,0.4587,HILL
30,126,8.4,3,1,0.2897,HILL
39,548,28.103,5,1,0.7395,ASTAR
35,551,31.486,8,0,0.9261,DFS
32,55,3.438,1,1,0.1109,HILL
40,331,16.55,9,0,0.4244,DFS
37,173,9.351,5,1,0.2598,ASTAR
33,55,3.333,7,0,0.1042,DFS
22,113,10.273,9,1,0.4892,ASTAR
42,502,23.905,9,1,0.583,ASTAR
49,291,11.878,3,0,0.2474,BFS
31,315,20.323,6,0,0.6774,DFS
42,452,21.524,9,0,0.525,DFS
18,102,11.333,8,1,0.6667,ASTAR
42,184,8.762,6,1,0.2137,ASTAR
49,660,26.939,10,1,0.5612,ASTAR
42,586,27.905,8,1,0.6806,ASTAR
11,33,6.0,6,0,0.6,ASTAR
50,103,4.12,10,1,0.0841,DFS
47,512,21.787,1,1,0.4736,HILL
50,827,33.08,3,0,0.6751,BFS
17,40,4.706,1,1,0.2941,HILL
19,123,12.947,4,1,0.7193,ASTAR
49,1013,41.347,1,0,0.8614,BFS
45,376,16.711,8,1,0.3798,ASTAR
21,137,13.048,9,1,0.6524,ASTAR
26,272,20.923,4,0,0.8369,BFS
29,143,9.862,5,1,0.3522,ASTAR
41,364,17.756,8,1,0.4439,ASTAR
27,173,12.815,2,1,0.4929,HILL
35,387,22.114,3,1,0.6504,ASTAR
15,58,7.733,8,1,0.5524,ASTAR
23,73,6.348,9,1,0.2885,DFS
27,96,7.111,2,0,0.2735,BFS
43,273,12.698,4,0,0.3023,BFS
31,397,25.613,8,0,0.8538,DFS
18,18,2.0,9,0,0.1176,DFS
40,527,26.35,4,1,0.6756,ASTAR
13,23,3.538,10,0,0.2949,DFS
12,22,3.667,7,0,0.3333,DFS
12,64,10.667,7,1,0.9697,ASTAR
28,46,3.286,1,1,0.1217,HILL
16,57,7.125,5,1,0.475,ASTAR
44,579,26.318,8,0,0.6121,DFS
39,317,16.256,4,0,0.4278,BFS
39,701,35.949,5,0,0.946,DFS
31,434,28.0,5,0,0.9333,DFS
50,879,35.16,7,1,0.7176,ASTAR
16,38,4.75,3,1,0.3167,HILL
25,27,2.16,5,1,0.09,ASTAR
27,194,14.37,5,0,0.5527,ASTAR
25,55,4.4,2,1,0.1833,HILL
35,548,31.314,5,0,0.921,DFS
28,215,15.357,10,0,0.5688,DFS
18,139,15.444,3,1,0.9085,ASTAR
48,812,33.833,7,1,0.7199,ASTAR
23,217,18.87,4,0,0.8577,BFS
43,762,35.442,6,0,0.8439,DFS
17,23,2.706,9,0,0.1691,DFS
19,60,6.316,6,1,0.3509,ASTAR
23,205,17.826,10,1,0.8103,ASTAR
42,497,23.667,1,1,0.5772,ASTAR
36,502,27.889,10,0,0.7968,DFS
29,398,27.448,1,1,0.9803,ASTAR
10,23,4.6,10,0,0.5111,DFS
32,389,24.312,2,0,0.7843,BFS
14,73,10.429,1,1,0.8022,ASTAR
18,124,13.778,6,1,0.8105,ASTAR
34,417,24.529,2,0,0.7433,BFS
32,91,5.688,3,1,0.1835,HILL
24,236,19.667,1,0,0.8551,BFS
39,727,37.282,9,1,0.9811,ASTAR
24,86,7.167,8,1,0.3116,DFS
22,206,18.727,2,0,0.8918,BFS
36,51,2.833,4,0,0.081,BFS
48,115,4.792,8,0,0.102,DFS
12,36,6.0,8,0,0.5455,DFS
13,29,4.462,9,1,0.3718,ASTAR
46,371,16.13,10,1,0.3585,ASTAR
19,151,15.895,4,1,0.883,ASTAR
13,34,5.231,7,1,0.4359,ASTAR
32,360,22.5,7,1,0.7258,ASTAR
36,187,10.389,5,1,0.2968,ASTAR
44,527,23.955,4,0,0.5571,BFS
19,136,14.316,1,1,0.7953,ASTAR
45,586,26.044,3,1,0.5919,ASTAR
23,106,9.217,2,1,0.419,HILL
15,82,10.933,4,0,0.781,BFS
48,127,5.292,2,0,0.1126,BFS
47,490,20.851,8,0,0.4533,DFS
31,185,11.935,1,0,0.3978,BFS
17,111,13.059,8,0,0.8162,DFS
23,123,10.696,4,1,0.4862,HILL
34,510,30.0,9,1,0.9091,ASTAR
33,294,17.818,8,1,0.5568,ASTAR
40,366,18.3,4,1,0.4692,HILL
12,47,7.833,4,0,0.7121,BFS
45,642,28.533,10,1,0.6485,ASTAR
22,105,9.545,4,1,0.4545,HILL
25,279,22.32,9,1,0.93,ASTAR
41,780,38.049,8,1,0.9512,ASTAR
32,117,7.312,3,1,0.2359,HILL
44,700,31.818,1,0,0.74,BFS
14,19,2.714,1,1,0.2088,HILL
50,522,20.88,2,0,0.4261,BFS
42,507,24.143,6,0,0.5889,DFS
49,1037,42.327,8,0,0.8818,DFS
45,465,20.667,1,0,0.4697,BFS
27,300,22.222,5,0,0.8547,DFS
37,219,11.838,2,0,0.3288,BFS
25,122,9.76,10,1,0.4067,ASTAR
27,229,16.963,2,1,0.6524,ASTAR
39,616,31.59,4,0,0.8313,BFS
15,97,12.933,1,0,0.9238,BFS
34,520,30.588,1,0,0.9269,BFS
15,77,10.267,7,1,0.7333,ASTAR
16,82,10.25,1,0,0.6833,BFS
46,531,23.087,5,0,0.513,DFS
27,304,22.519,10,0,0.8661,DFS
30,37,2.467,4,0,0.0851,BFS
35,112,6.4,5,0,0.1882,BFS
46,899,39.087,7,1,0.8686,ASTAR
18,37,4.111,9,1,0.2418,DFS
37,273,14.757,2,1,0.4099,HILL
49,860,35.102,6,0,0.7313,DFS
38,539,28.368,4,1,0.7667,ASTAR
34,475,27.941,3,1,0.8467,ASTAR
49,652,26.612,4,0,0.5544,BFS
19,115,12.105,3,1,0.6725,ASTAR
16,26,3.25,1,1,0.2167,HILL
27,78,5.778,3,0,0.2222,BFS
38,607,31.947,9,1,0.8634,ASTAR
15,59,7.867,9,0,0.5619,DFS
30,226,15.067,1,1,0.5195,HILL
15,85,11.333,4,0,0.8095,BFS
20,54,5.4,5,1,0.2842,ASTAR
19,34,3.579,3,1,0.1988,HILL
29,275,18.966,2,1,0.6773,ASTAR
25,277,22.16,10,0,0.9233,DFS
18,94,10.444,1,1,0.6144,ASTAR
49,826,33.714,6,1,0.7024,ASTAR
48,325,13.542,5,1,0.2881,ASTAR
22,143,13.0,6,0,0.619,ASTAR
28,351,25.071,8,0,0.9286,DFS
27,227,16.815,6,0,0.6467,DFS
47,414,17.617,9,0,0.383,DFS
39,252,12.923,8,1,0.3401,DFS
14,65,9.286,8,0,0.7143,DFS
25,153,12.24,3,1,0.51,HILL
14,70,10.0,10,1,0.7692,ASTAR
44,561,25.5,7,0,0.593,DFS
33,391,23.697,9,0,0.7405,DFS
25,205,16.4,3,0,0.6833,BFS
35,373,21.314,7,0,0.6269,DFS
26,138,10.615,9,0,0.4246,DFS
35,508,29.029,10,0,0.8538,DFS
11,40,7.273,2,1,0.7273,ASTAR
15,28,3.733,3,1,0.2667,HILL
39,249,12.769,9,1,0.336,DFS
16,71,8.875,8,1,0.5917,ASTAR
12,62,10.333,2,0,0.9394,BFS
16,101,12.625,3,0,0.8417,BFS
45,207,9.2,6,1,0.2091,ASTAR
24,227,18.917,7,0,0.8225,DFS
37,441,23.838,1,0,0.6622,BFS
37,434,23.459,1,0,0.6517,BFS
14,86,12.286,2,0,0.9451,BFS
22,138,12.545,2,1,0.5974,ASTAR
41,580,28.293,6,1,0.7073,ASTAR
47,279,11.872,6,1,0.2581,ASTAR
49,401,16.367,5,0,0.341,ASTAR
17,46,5.412,5,0,0.3382,DFS
42,438,20.857,7,0,0.5087,DFS
37,226,12.216,8,0,0.3393,DFS
41,335,16.341,3,0,0.4085,BFS
38,671,35.316,1,1,0.9545,ASTAR
41,179,8.732,4,1,0.2183,HILL
42,709,33.762,8,1,0.8235,ASTAR
36,489,27.167,8,0,0.7762,DFS
11,24,4.364,5,0,0.4364,ASTAR
20,136,13.6,10,1,0.7158,ASTAR
17,89,10.471,2,1,0.6544,ASTAR
33,309,18.727,1,1,0.5852,ASTAR
37,140,7.568,4,1,0.2102,HILL
12,39,6.5,5,1,0.5909,ASTAR
15,70,9.333,2,0,0.6667,BFS
47,764,32.511,10,1,0.7068,ASTAR
18,69,7.667,4,0,0.451,BFS
44,330,15.0,10,0,0.3488,DFS
28,175,12.5,10,1,0.463,ASTAR
42,736,35.048,2,0,0.8548,BFS
36,95,5.278,5,0,0.1508,BFS
18,80,8.889,3,1,0.5229,HILL
35,535,30.571,3,1,0.8992,ASTAR
34,495,29.118,2,0,0.8824,BFS
27,214,15.852,8,1,0.6097,ASTAR
10,15,3.0,8,1,0.3333,DFS
44,450,20.455,4,1,0.4757,HILL
41,314,15.317,6,1,0.3829,ASTAR
46,178,7.739,10,1,0.172,DFS
13,17,2.615,2,1,0.2179,HILL
20,131,13.1,8,0,0.6895,DFS
37,243,13.135,3,1,0.3649,HILL
27,73,5.407,6,1,0.208,ASTAR
20,32,3.2,7,1,0.1684,ASTAR
24,132,11.0,2,0,0.4783,BFS
40,118,5.9,3,0,0.1513,BFS
38,46,2.421,1,1,0.0654,HILL
37,171,9.243,8,0,0.2568,DFS
15,27,3.6,2,1,0.2571,HILL
29,98,6.759,7,0,0.2414,DFS
19,35,3.684,9,0,0.2047,DFS
20,131,13.1,6,0,0.6895,DFS
36,488,27.111,4,0,0.7746,BFS
18,48,5.333,10,1,0.3137,DFS
37,358,19.351,3,0,0.5375,BFS
15,45,6.0,9,1,0.4286,ASTAR
11,52,9.455,5,0,0.9455,DFS
35,336,19.2,1,0,0.5647,BFS
17,46,5.412,8,0,0.3382,DFS
10,33,6.6,6,0,0.7333,HILL
33,311,18.848,3,1,0.589,ASTAR
14,15,2.143,10,0,0.1648,DFS
23,32,2.783,1,1,0.1265,HILL
50,1075,43.0,7,1,0.8776,ASTAR
15,95,12.667,9,0,0.9048,DFS
29,68,4.69,9,0,0.1675,DFS
19,155,16.316,6,1,0.9064,ASTAR
14,52,7.429,7,0,0.5714,DFS
15,69,9.2,2,1,0.6571,ASTAR
13,51,7.846,3,0,0.6538,BFS
18,19,2.111,3,1,0.1242,HILL
43,571,26.558,5,0,0.6323,DFS
27,86,6.37,1,1,0.245,HILL
27,294,21.778,2,1,0.8376,ASTAR
46,687,29.87,2,1,0.6638,ASTAR
33,60,3.636,8,0,0.1136,DFS
26,77,5.923,10,0,0.2369,DFS
42,43,2.048,1,0,0.0499,BFS
40,411,20.55,7,0,0.5269,DFS
12,46,7.667,7,0,0.697,DFS
36,362,20.111,5,0,0.5746,DFS
17,80,9.412,1,0,0.5882,BFS
43,89,4.14,7,0,0.0986,DFS
28,186,13.286,6,0,0.4921,BFS
33,134,8.121,5,1,0.2538,ASTAR
25,261,20.88,6,1,0.87,ASTAR
22,208,18.909,9,0,0.9004,DFS
36,59,3.278,4,1,0.0937,HILL
10,31,6.2,1,1,0.6889,ASTAR
29,81,5.586,4,0,0.1995,BFS
13,30,4.615,5,0,0.3846,DFS
43,464,21.581,6,1,0.5138,ASTAR
15,88,11.733,2,0,0.8381,BFS
35,110,6.286,10,0,0.1849,DFS
18,77,8.556,5,1,0.5033,ASTAR
35,368,21.029,6,1,0.6185,ASTAR
14,38,5.429,3,0,0.4176,BFS
20,134,13.4,8,1,0.7053,ASTAR
44,409,18.591,4,1,0.4323,HILL
26,86,6.615,2,0,0.2646,BFS
29,388,26.759,10,0,0.9557,DFS
30,104,6.933,2,0,0.2391,BFS
